"Category","Brand_Description","Price","Review_Count","Rating"
"Security & Surveillance Equipment"," WYZE Cam OG 1080p HD Wi-Fi Security Camera - Indoor/Outdoor, Color Night Vision, Spotlight, 2-Way Audio, Cloud & Local storage- Ideal for Home Security, Baby, Pet Monitoring Alexa Google Assistant  4.4 out of 5 stars 6,467  10K+ bought in past month$23.99$23.99 List: $29.98$29.98 FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$23.95(4 new offers)Price may vary by color",23,"6,467","4.4 out of 5 stars"
"Security & Surveillance Equipment"," Kasa Indoor Pan/Tilt Smart Dog Security Camera, 1080p HD,2.4GHz with Night Vision,Motion Detection for Baby and Pet Monitor, Cloud & SD Card Storage, Works with Alexa& Google Home (EC70), White  4.4 out of 5 stars 26,060  10K+ bought in past month$24.44$24.44 List: $34.99$34.99 FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$14.72(10 used & new offers)",24,"26,060","4.4 out of 5 stars"
"Security & Surveillance Equipment"," CHAMBERLAIN Smart Garage Control - Wireless Garage Hub and Sensor with Wifi & Bluetooth - Smartphone Controlled, myQ-G0401-ES, White  Bluetooth, Wi-Fi4.3 out of 5 stars 50,767  10K+ bought in past month$24.98$24.98 List: $29.98$29.98 FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 More Buying Choices$12.56(23 used & new offers)",24,"Bluetooth, Wi-Fi","4.3 out of 5 stars"
"Security & Surveillance Equipment"," Google indoor Nest Security Cam 1080p (Wired) - 2nd Generation - Snow  4.4 out of 5 stars 3,253  4K+ bought in past month$89.90$89.90 List: $99.99$99.99 FREE delivery Sun, Jan 28 Or fastest delivery Thu, Jan 25 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$64.78(62 used & new offers)Price may vary by color",89,"3,253","4.4 out of 5 stars"
"Security & Surveillance Equipment"," iFamily Baby Monitor - Large 5"" Screen with 30Hrs Battery Life - Remote Pan-Tilt-Zoom;No WiFi, Two-Way Audio, Night Vision, Temperature, Lullabies, 960ft Long Range Baby Monitor with Camera and Audio  4.5 out of 5 stars 8,742  7K+ bought in past month$59.99$59.99 FREE delivery Sun, Jan 28 Or fastest delivery Fri, Jan 26 ",59,"8,742","4.5 out of 5 stars"
"Security & Surveillance Equipment"," Google Nest Cam Outdoor or Indoor, Battery - 2nd Generation - 1 Pack  4.2 out of 5 stars 4,591  3K+ bought in past month$149.99$149.99 List: $179.99$179.99 FREE delivery Sun, Jan 28 Or fastest delivery Thu, Jan 25 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$99.67(63 used & new offers)",149,"4,591","4.2 out of 5 stars"
"Security & Surveillance Equipment"," WYZE Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT  4.5 out of 5 stars 74,138  5K+ bought in past month$35.98$35.98 FREE delivery Sun, Jan 28 Or fastest delivery Thu, Jan 25 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$25.73(7 used & new offers)",35,"74,138","4.5 out of 5 stars"
"Security & Surveillance Equipment"," Security Cameras Wireless Outdoor, 1080P Battery Powered AI Motion Detection Spotlight Siren Alarm WiFi Surveillance Indoor Home Camera, Color Night Vision, 2-Way Talk, Waterproof, Cloud/SD Storage  4.5 out of 5 stars 5,153  5K+ bought in past monthLimited time deal   $39.99$39.99 List: $51.99$51.9915% coupon applied at checkoutSave 15%  with coupon  FREE delivery Sun, Jan 28 Or fastest delivery Thu, Jan 25 More Buying Choices$39.59(6 used & new offers)",39,"5,153","4.5 out of 5 stars"
"Security & Surveillance Equipment"," WYZE Cam Pan v3 Indoor/Outdoor IP65-Rated 1080p Pan/Tilt/Zoom Wi-Fi Smart Home Security Camera with Color Night Vision, 2-Way Audio, Compatible with Alexa & Google Assistant, White, 2-Pack  4.3 out of 5 stars 9,849  3K+ bought in past month$74.28$74.28 ($37.14$37.14/Count) List: $79.96$79.96 FREE delivery Sun, Jan 28 Or fastest delivery Thu, Jan 25 More Buying Choices$74.00(4 new offers)Price may vary by color",74,"9,849","4.3 out of 5 stars"
"Security & Surveillance Equipment"," +6 colors/patternsShe’s Birdie–The Original Personal Safety Alarm for Women by Women–130dB Siren, Strobe Light and Key Chain in 5 Pop Colors  4.5 out of 5 stars 12,156  5K+ bought in past month$29.95$29.95FREE delivery Fri, Jan 26 Or fastest delivery Tomorrow, Jan 24 Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ",29,"12,156","4.5 out of 5 stars"
"Security & Surveillance Equipment"," GALAYOU WiFi Camera 2K, Indoor Home Security Cameras for Baby/Elder/Dog/Pet Camera with Phone app,24/7 SD Card Storage,Works with Alexa & Google Home G7  4.3 out of 5 stars 7,593  7K+ bought in past month$19.99$19.99 List: $27.99$27.99Join Prime to buy this item at $14.99 FREE delivery Mon, Jan 29 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. ",19,"7,593","4.3 out of 5 stars"
"Security & Surveillance Equipment"," 4MP Bulb Security Camera 2.4GHz,360° 2K Security Cameras Wireless Outdoor Indoor Full Color Day and Night, Motion Detection, Audible Alarm, Easy Installation, Compatible with Alexa  4.2 out of 5 stars 10,278  5K+ bought in past monthLimited time deal   $28.79$28.79 Typical: $31.99$31.99 FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$25.53(7 used & new offers)",28,"10,278","4.2 out of 5 stars"
"Security & Surveillance Equipment"," Wyze Cam Floodlight with 2600 Lumen LEDs, Wired 1080p HD IP65 Outdoor Smart Security Camera, Color Night Vision, 270-Degree Customizable Motion Detection, 105dB Siren, and Two-Way Audio  4.3 out of 5 stars 2,766  2K+ bought in past month$97.01$97.01 FREE delivery Sun, Jan 28 Or fastest delivery Thu, Jan 25 More Buying Choices$69.00(4 used & new offers)",97,"2,766","4.3 out of 5 stars"
"Security & Surveillance Equipment"," 2K Indoor Security Camera, Litokam 360° Cameras for Home Security Indoor with Motion Detection, Pet Camera with Phone App, Baby Monitor-Night Vision  4.3 out of 5 stars 3,784  6K+ bought in past month$29.99$29.99 List: $49.99$49.995% coupon applied at checkoutSave 5%  with coupon  FREE delivery Wed, Jan 31 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$19.79(4 used & new offers)",29,"3,784","4.3 out of 5 stars"
